DATE,M2,Open,High,Low,Close,Adj_Close,Volume_in_mln
2009-06-29,8367.9,919.86,927.99,916.18,927.23,927.23,4211.76
2009-07-06,8454.7,894.27,898.72,886.36,898.72,898.72,4712.58
2009-07-13,8425.4,879.57,901.05,875.32,901.05,901.05,4499.44
2009-07-20,8399.8,942.07,951.62,940.99,951.13,951.13,4853.15
2009-07-27,8366.4,978.63,982.49,972.29,982.18,982.18,4631.29
2009-08-03,8397.8,990.22,1003.61,990.22,1002.63,1002.63,5603.44
2009-08-10,8417.2,1008.89,1010.12,1000.99,1007.1,1007.1,5406.08
2009-08-17,8419.4,998.18,998.18,978.51,979.73,979.73,4088.57
2009-08-24,8340.9,1026.59,1035.82,1022.48,1025.57,1025.57,6302.45
2009-08-31,8351.8,1025.21,1025.21,1014.62,1020.62,1020.62,5004.56
2009-09-07,8423.3,1018.67,1026.07,1018.67,1025.39,1025.39,5235.16
2009-09-14,8437.1,1040.15,1049.74,1035.0,1049.34,1049.34,4979.61
2009-09-21,8384.8,1067.14,1067.28,1057.46,1064.66,1064.66,4615.28
2009-09-28,8344.5,1045.38,1065.13,1045.38,1062.98,1062.98,3726.95
2009-10-05,8416.3,1026.87,1042.58,1025.92,1040.46,1040.46,4313.31
2009-10-12,8431.2,1071.63,1079.46,1071.63,1076.19,1076.19,3710.43
2009-10-19,8450.1,1088.22,1100.17,1086.48,1097.91,1097.91,4619.24
2009-10-26,8392.4,1080.36,1091.75,1065.23,1066.95,1066.95,6363.38
2009-11-02,8437.8,1036.18,1052.18,1029.38,1042.88,1042.88,6202.64
2009-11-09,8497.2,1072.31,1093.19,1072.31,1093.08,1093.08,4460.03
2009-11-16,8524.0,1094.13,1113.69,1094.13,1109.3,1109.3,4565.85
2009-11-23,8483.4,1094.86,1112.38,1094.86,1106.24,1106.24,3827.92
2009-11-30,8506.8,1091.07,1097.24,1086.25,1095.63,1095.63,3895.52
2009-12-07,8559.7,1105.52,1110.72,1100.83,1103.25,1103.25,4103.36
2009-12-14,8558.2,1107.84,1114.76,1107.84,1114.11,1114.11,4548.49
2009-12-21,8541.7,1105.31,1117.68,1105.31,1114.05,1114.05,3977.34
2009-12-28,8527.1,1127.53,1130.38,1123.51,1127.78,1127.78,2716.4
2010-01-04,8534.2,1116.56,1133.87,1116.56,1132.99,1132.99,3991.4
2010-01-11,8494.9,1145.96,1149.74,1142.02,1146.98,1146.98,4255.78
2010-01-18,8476.3,1136.03,1150.45,1135.77,1150.23,1150.23,4724.83
2010-01-25,8411.2,1092.4,1102.97,1092.4,1096.78,1096.78,4481.39
2010-02-01,8428.8,1073.89,1089.38,1073.89,1089.19,1089.19,4077.61
2010-02-08,8481.4,1065.51,1071.2,1056.51,1056.74,1056.74,4089.82
2010-02-15,8530.4,1079.13,1095.67,1079.13,1094.87,1094.87,4080.77
2010-02-22,8508.5,1110.0,1112.29,1105.38,1108.01,1108.01,3814.44
2010-03-01,8527.7,1105.36,1116.11,1105.36,1115.71,1115.71,3847.64
2010-03-08,8581.1,1138.4,1141.05,1136.77,1138.5,1138.5,3774.68
2010-03-15,8599.2,1148.53,1150.98,1141.45,1150.51,1150.51,4164.11
2010-03-22,8564.9,1157.25,1167.82,1152.88,1165.81,1165.81,4261.68
2010-03-29,8557.8,1167.71,1174.85,1167.71,1173.22,1173.22,4375.58
2010-04-05,8657.4,1178.71,1187.73,1178.71,1187.44,1187.44,3881.62
2010-04-12,8641.3,1194.94,1199.2,1194.71,1196.48,1196.48,4607.09
2010-04-19,8621.5,1192.06,1197.87,1183.68,1197.52,1197.52,6597.74
2010-04-26,8526.0,1217.07,1219.8,1211.07,1212.05,1212.05,5647.76
2010-05-03,8552.7,1188.58,1205.13,1188.58,1202.26,1202.26,4938.05
2010-05-10,8580.5,1122.27,1163.85,1122.27,1159.73,1159.73,6893.7
2010-05-17,8617.0,1136.52,1141.88,1114.96,1136.94,1136.94,5922.92
2010-05-24,8548.4,1084.78,1089.95,1072.7,1073.65,1073.65,5224.04
2010-05-31,8589.7,1087.3,1094.77,1069.89,1070.71,1070.71,5271.48
2010-06-07,8651.4,1065.84,1071.36,1049.86,1050.47,1050.47,5467.56
2010-06-14,8628.3,1095.0,1105.91,1089.03,1089.63,1089.63,4425.83
2010-06-21,8599.9,1122.79,1131.23,1108.24,1113.2,1113.2,4514.36
2010-06-28,8556.2,1077.5,1082.6,1071.45,1074.57,1074.57,3896.41
2010-07-05,8604.4,1028.09,1042.5,1018.35,1028.06,1028.06,4691.24
2010-07-12,8598.8,1077.23,1080.78,1070.45,1078.75,1078.75,3426.99
2010-07-19,8573.8,1066.85,1074.7,1061.11,1071.25,1071.25,4089.5
2010-07-26,8534.4,1102.89,1115.01,1101.3,1115.01,1115.01,4009.65
2010-08-02,8585.3,1107.53,1127.3,1107.53,1125.86,1125.86,4144.18
2010-08-09,8626.1,1122.8,1129.24,1120.91,1127.79,1127.79,3979.36
2010-08-16,8631.6,1077.49,1082.62,1069.49,1079.38,1079.38,3142.45
2010-08-23,8579.8,1073.36,1081.58,1067.08,1067.36,1067.36,3210.95
2010-08-30,8586.0,1062.9,1064.4,1048.79,1048.92,1048.92,2917.99
2010-09-06,8670.1,1102.6,1102.6,1091.15,1091.84,1091.84,3107.38
